,"sentence","word","label"
0,0,"lowenergy","O"
1,0,"truly","O"
2,0,"random","O"
3,0,"number","O"
4,0,"generation","O"
5,0,"superparamagnetic","I-PROP"
6,0,"tunnel","B-STRUCT"
7,0,"junctions","I-STRUCT"
8,0,"unconventional","O"
9,0,"computing","O"
10,1,"abstract","O"
11,1,"energy","O"
12,1,"efficiency","O"
13,1,"compared","O"
14,1,"current","O"
15,1,"solutions","O"
16,2,"show","O"
17,2,"random","O"
18,2,"generation","O"
19,2,"speed","O"
20,2,"improves","O"
21,2,"nanodevice","I-STRUCT"
22,2,"scaling","O"
23,2,"investigate","O"
24,2,"impact","O"
25,2,"temperature","O"
26,2,"magnetic","O"
27,2,"field","O"
28,2,"crosstalk","O"
29,3,"finally","O"
30,3,"show","O"
31,3,"alternative","O"
32,3,"computing","O"
33,3,"schemes","O"
34,3,"implemented","O"
35,3,"using","O"
36,3,"superparamagentic","I-PROP"
37,3,"tunnel","B-STRUCT"
38,3,"junctions","I-STRUCT"
39,3,"random","O"
40,3,"number","O"
41,3,"generators","O"
42,4,"results","O"
43,4,"open","O"
44,5,"theoretical","O"
45,5,"investigation","O"
46,5,"excitonic","O"
47,5,"magnetism","O"
48,5,"lasrcoo","I-MAT"
49,5,4,"O"
50,6,"abstract","O"
51,7,"find","O"
52,7,"staggered","O"
53,7,"arrangement","O"
54,7,"magnetic","O"
55,7,"multipoles","O"
56,7,"stable","O"
57,7,"broad","O"
58,7,"range","O"
59,7,"co","I-MAT"
60,7,"3d","O"
61,7,"interaction","O"
62,7,"parameters","O"
63,8,"ordered","O"
64,8,"state","O"
65,8,"described","O"
66,8,"spindenitywavetype","O"
67,8,"condensate","O"
68,8,"xy","O"
69,8,"x","O"
70,8,2,"O"
71,8,2,"O"
72,8,"excitons","O"
73,8,"carrying","O"
74,8,"spin","O"
75,8,"s1","O"
76,9,"construct","O"
77,9,"effective","O"
78,9,"strongcoupling","O"
79,9,"model","O"
80,9,"calculate","O"
81,9,"exciton","O"
82,9,"dispersion","O"
83,9,"inves","O"
84,10,"alma","O"
85,10,"vla","O"
86,10,"observations","O"
87,10,"emission","O"
88,10,"environment","O"
89,10,"sgr","O"
90,11,"abstract","O"
91,11,"mg","I-MAT"
92,11,"magnetic","O"
93,11,"field","O"
94,12,"origin","O"
95,12,"unclear","O"
96,12,"coexistence","O"
97,12,"hot","O"
98,12,"gas","O"
99,12,"supports","O"
100,12,"scenarios","O"
101,12,"gas","O"
102,12,"produced","O"
103,12,"interaction","O"
104,12,"winds","O"
105,12,"either","O"
106,12,"fast","O"
107,12,"moving","O"
108,12,"sstars","O"
109,12,"photoevaporation","O"
110,12,"lowmass","O"
111,12,"yso","O"
112,12,"disks","O"
113,12,"jetdriven","O"
114,12,"outflow","O"
115,12,"sgr","O"
116,13,"spatial","O"
117,13,"anticorrelation","O"
118,13,"xray","O"
119,13,"radio","O"
120,13,"mm","O"
121,13,"emission","O"
122,13,"halo","O"
123,14,"trions","O"
124,14,"mos","O"
125,14,2,"O"
126,14,"quantum","O"
127,14,"superpositions","O"
128,14,"intra","O"
129,14,"intervalley","O"
130,14,"spin","O"
131,14,"states","O"
132,15,"abstract","O"
133,15,"monolayers","I-STRUCT"
134,15,"high","O"
135,15,"magnetic","O"
136,15,"fields","O"
137,15,28,"O"
138,15,"b","O"
139,15,"0t","O"
140,15,"electron","O"
141,15,"density","O"
142,15,"nssim","O"
143,15,"1012cm2","O"
144,15,"observe","O"
145,15,"three","O"
146,15,"trion","O"
147,15,"resonances","O"
148,15,"explained","O"
149,15,"within","O"
150,15,"singleparticle","O"
151,15,"picture","O"
152,16,"employing","O"
153,16,"ab","O"
154,16,"initio","O"
155,16,"calculations","O"
156,16,"take","O"
157,16,"account","O"
158,16,"threeparticle","O"
159,16,"correlation","O"
160,16,"effects","O"
161,16,"well","O"
162,16,"local","O"
163,16,"nonlocal","O"
164,16,"electronhole","O"
165,16,"exchange","O"
166,16,"interaction","O"
167,16,"identi","O"
168,17,"angleresolved","O"
169,17,"optically","O"
170,17,"detected","O"
171,17,"magnetic","O"
172,17,"resonance","O"
173,17,"tool","O"
174,17,"strain","O"
175,17,"determination","O"
176,17,"nanostructures","O"
177,18,"abstract","O"
178,18,"paper","O"
179,18,"apply","O"
180,18,"angleresolved","O"
181,18,"optically","O"
182,18,"detected","O"
183,18,"magnetic","O"
184,18,"resonance","O"
185,18,"odmr","O"
186,18,"technique","O"
187,18,"study","O"
188,18,"series","O"
189,18,"strained","O"
190,18,"cd","B-MAT"
191,18,"mntecd","I-MAT"
192,18,"mgte","I-MAT"
193,18,"quantum","O"
194,18,"wells","O"
195,18,"qws","O"
196,18,"produced","O"
197,18,"molecular","O"
198,18,"beam","O"
199,18,"epitaxy","O"
200,19,"analyzing","O"
201,19,"characteristic","O"
202,19,"features","O"
203,19,"odmr","O"
204,19,"angular","O"
205,19,"scans","O"
206,19,"determine","O"
207,19,"straininduced","O"
208,19,"axialsymmetry","O"
209,19,"spin","O"
210,19,"hamiltonian","O"
211,19,"parameter","O"
212,19,"nev","O"
213,19,"precision","O"
214,20,"furthermore","O"
215,20,"use","O"
216,20,"lowtemperature","O"
217,20,"optical","O"
218,20,"reflectivity","O"
219,20,"measurements","O"
220,20,"xray","O"
221,20,"diffraction","O"
222,20,"scans","O"
223,20,"evaluate","O"
224,20,"local","O"
225,20,"strain","O"
226,20,"present","O"
227,20,"qw","O"
228,20,"material","O"
229,21,"analysis","O"
230,21,"take","O"
231,21,"account","O"
232,21,"different","O"
233,21,"thermal","O"
234,21,"expansion","O"
235,21,"coefficients","O"
236,21,"gaas","O"
237,21,"substrate","O"
238,21,"cdte","I-MAT"
239,21,"buffer","O"
240,22,"additional","O"
241,22,"deformation","O"
242,22,"due","O"
243,22,"thermal","O"
244,22,"expansion","O"
245,22,"effects","O"
246,22,"magnitude","O"
247,22,"deformation","O"
248,22,"origination","O"
249,22,"different","O"
250,22,"compositions","O"
251,22,"samples","O"
252,23,"based","O"
253,23,"evaluated","O"
254,23,"deformations","O"
255,23,"values","O"
256,23,"straininduced","O"
257,23,"axialsymmetry","O"
258,23,"spin","O"
259,23,"hamiltonian","O"
260,23,"parameter","O"
261,23,"find","O"
262,23,"strain","O"
263,23,"spinlattice","O"
264,23,"coefficient","O"
265,23,"g11","O"
266,23,722,"O"
267,23,19,"O"
268,23,"nev","O"
269,23,"mn2","B-MAT"
270,23,"cdte","I-MAT"
271,23,"shear","O"
272,23,"deformation","O"
273,23,"potential","O"
274,23,"b","O"
275,23,94,"O"
276,23,11,"O"
277,23,"ev","O"
278,23,"cdte","B-MAT"
279,24,"less","O"
280,25,"textitab","O"
281,25,"initio","O"
282,25,"study","O"
283,25,"magnetic","O"
284,25,"behavior","O"
285,25,"metal","O"
286,25,"hydrides","O"
287,25,"comparison","O"
288,25,"slaterpauling","O"
289,25,"curve","O"
290,26,"abstract","O"
291,26,"investigated","O"
292,26,"magnetic","O"
293,26,"behavior","O"
294,26,"metal","O"
295,26,"hydrides","O"
296,26,"feh","I-MAT"
297,26,"x","O"
298,26,"coh","B-MAT"
299,26,"x","O"
300,26,"nih","B-MAT"
301,26,"x","O"
302,26,"several","O"
303,26,"concentrations","O"
304,26,"hydrogen","O"
305,26,"x","O"
306,26,"using","O"
307,26,"density","O"
308,26,"functional","O"
309,26,"theory","O"
310,26,"calculations","O"
311,27,"several","O"
312,27,"structural","O"
313,27,"phases","O"
314,27,"metallic","O"
315,27,"host","O"
316,27,"bcc","O"
317,27,"fcc","O"
318,27,"hcp","O"
319,27,"dhcp","O"
320,27,"tetragonal","O"
321,27,"structure","O"
322,27,"feh","B-MAT"
323,27,"x","O"
324,28,"tailoring","O"
325,28,"ferromagnetism","B-PROP"
326,28,"electrically","O"
327,28,"controlled","O"
328,28,"morphology","O"
329,29,"abstract","O"
330,29,"converse","O"
331,29,"magnetoelectric","B-PROP"
332,29,"coupling","O"
333,29,"artificial","O"
334,29,"multiferroics","B-PROP"
335,29,"generally","O"
336,29,"modelled","O"
337,29,"three","O"
338,29,"possible","O"
339,29,"mechanisms","O"
340,29,"charge","O"
341,29,"transfer","O"
342,29,"strain","O"
343,29,"mediated","O"
344,29,"ion","O"
345,29,"migration","O"
346,30,"demonstrate","O"
347,30,"novel","O"
348,30,"highly","O"
349,30,"reliable","O"
350,30,"approach","O"
351,30,"electrically","O"
352,30,"controlled","O"
353,30,"morphological","O"
354,30,"modifications","O"
355,30,"control","O"
356,30,"ferromagnetic","B-PROP"
357,30,"response","O"
358,30,"magnetoelectric","B-PROP"
359,30,"heterostructure","O"
360,30,"specifically","O"
361,30,"fexmn1x","B-MAT"
362,30,"ferromagnetic","B-PROP"
363,30,"films","O"
364,30,"ferroelectric","B-PROP"
365,30,"pmnpt","B-MAT"
366,30,1,"O"
367,30,"substrates","O"
368,31,"ferroelectric","B-PROP"
369,31,"pmnpt","B-MAT"
370,31,"substrates","O"
371,31,"present","O"
372,31,"correspondence","O"
373,31,"electrical","O"
374,31,"switching","O"
375,31,"fully","O"
376,31,"reversible","O"
377,31,"morphological","O"
378,31,"changes","O"
379,31,"surface","O"
380,31,"correspond","O"
381,31,"reproducible","O"
382,31,"modifications","O"
383,31,"ferromagnetic","B-PROP"
384,31,"response","O"
385,31,"fexmn1x","B-MAT"
386,31,"films","O"
387,32,"topographic","O"
388,32,"analysis","O"
389,32,"atomic","O"
390,32,"force","O"
391,32,"microscopy","O"
392,32,"shows","O"
393,32,"formation","O"
394,32,"surface","O"
395,32,"cracks","O"
396,32,"application","O"
397,32,"positive","O"
398,32,"electric","O"
399,32,"field","O"
400,32,6,"O"
401,32,"kvcm","O"
402,32,"disappear","O"
403,32,"application","O"
404,32,"negative","O"
405,32,"voltage","O"
406,32,"amplitude","O"
407,33,"inoperando","O"
408,33,"xray","O"
409,33,"magnetic","O"
410,33,"circular","O"
411,33,"dichroic","O"
412,33,"spectroscopy","O"
413,33,"fe","B-MAT"
414,33,"edge","O"
415,33,"fexmn1x","B-MAT"
416,33,"layers","O"
417,33,"shows","O"
418,33,"local","O"
419,33,"variations","O"
420,33,"dichroic","O"
421,33,"signal","O"
422,33,"factor","O"
423,33,25,"O"
424,33,"function","O"
425,33,"electricallydriven","O"
426,33,"morphological","O"
427,33,"state","O"
428,34,"findings","O"
429,34,"highlight","O"
430,34,"role","O"
431,34,"morphology","O"
432,34,"surface","O"
433,34,"topography","O"
434,34,"key","O"
435,34,"aspect","O"
436,34,"magnetoelectric","B-PROP"
437,34,"coupling","O"
438,34,"whose","O"
439,34,"proof","O"
440,34,"electrically","O"
441,34,"reversible","O"
442,34,"modification","O"
443,34,"magnetic","O"
444,34,"response","O"
445,34,"adds","O"
446,34,"new","O"
447,34,"possibility","O"
448,34,"design","O"
449,34,"multiferroic","B-PROP"
450,34,"heterostructures","O"
451,34,"electrically","O"
452,34,"controlled","O"
453,34,"functionalities","O"
454,35,"less","O"
455,36,"first","O"
456,36,"order","O"
457,36,"magnetostructural","B-PROP"
458,36,"transition","O"
459,36,"magnetocaloric","B-PROP"
460,36,"effect","O"
461,36,"mnnige","B-MAT"
462,36,9,"O"
463,36,"ga","B-MAT"
464,36,1,"O"
465,37,"abstract","O"
466,37,"studied","O"
467,37,"via","O"
468,37,"powder","O"
469,37,"xray","O"
470,37,"diffraction","O"
471,37,"magnetization","O"
472,37,"measurements","O"
473,38,"temperature","O"
474,38,"dependent","O"
475,38,"xray","O"
476,38,"diffraction","O"
477,38,"measurements","O"
478,38,"reveal","O"
479,38,"magnetostructural","B-PROP"
480,38,"transition","O"
481,38,"remains","O"
482,38,"incomplete","O"
483,38,23,"O"
484,38,"k","O"
485,38,"resulting","O"
486,38,"coexistence","O"
487,38,"antiferromagnetic","B-PROP"
488,38,"ferromagnetic","I-PROP"
489,38,"phases","O"
490,38,"low","O"
491,38,"temperatures","O"
492,39,"fraction","O"
493,39,"high","O"
494,39,"temperature","O"
495,39,"ni","B-MAT"
496,39,2,"O"
497,39,"intype","O"
498,39,"hexagonal","O"
499,40,"spectroscopic","O"
500,40,"size","O"
501,40,"thickness","O"
502,40,"metrics","O"
503,40,"liquidexfoliated","O"
504,40,"hbn","B-MAT"
505,41,"abstract","O"
506,41,"many","O"
507,41,"2d","O"
508,41,"materials","O"
509,41,"optical","O"
510,41,"raman","O"
511,41,"spectra","O"
512,41,"richly","O"
513,41,"structured","O"
514,41,"convey","O"
515,41,"information","O"
516,41,"range","O"
517,41,"parameters","O"
518,41,"including","O"
519,41,"nanosheet","O"
520,41,"size","O"
521,41,"defect","O"
522,41,"content","O"
523,42,"contrast","O"
524,42,"equivalent","O"
525,42,"spectra","O"
526,42,"hbn","B-MAT"
527,42,"relatively","O"
528,42,"simple","O"
529,42,"absorption","O"
530,42,"raman","O"
531,42,"spectra","O"
532,42,"consisting","O"
533,42,"single","O"
534,42,"feature","O"
535,42,"disclosing","O"
536,42,"relatively","O"
537,42,"little","O"
538,42,"information","O"
539,43,"ability","O"
540,43,"sizeselect","O"
541,43,"liquidexfoliated","O"
542,43,"hbn","B-MAT"
543,43,"nanosheets","O"
544,43,"allowed","O"
545,43,"us","O"
546,43,"comprehensively","O"
547,43,"study","O"
548,43,"dependence","O"
549,43,"hbn","B-MAT"
550,43,"optical","O"
551,43,"spectra","O"
552,43,"nanosheet","B-STRUCT"
553,43,"dimensions","O"
554,44,"find",
555,44,"optical",
556,44,"extinction",
557,44,"coefficient",
558,44,"spectrum",
559,44,"vary",
560,44,"systematically",
561,44,"nanosheet",
562,44,"lateral",
563,44,"size",
564,44,"due",
565,44,"presence",
566,44,"light",
567,44,"scattering",
568,45,"conversely",
569,45,"light",
570,45,"scattering",
571,45,"decoupled",
572,45,"give",
573,45,"optical",
574,45,"absorbance",
575,45,"spectra",
576,45,"find",
577,45,"size",
578,45,"dependence",
579,45,"mostly",
580,45,"removed",
581,45,"save",
582,45,"weak",
583,45,"welldefined",
584,45,"variation",
585,45,"energy",
586,45,"peak",
587,45,"absorbance",
588,45,"nanosheet",
589,45,"thickness",
590,46,"finding",
591,46,"corroborated",
592,46,"ab",
593,46,"initio",
594,46,"gw",
595,46,"bethesalpeter",
596,46,"equation",
597,46,"calculations",
598,46,"include",
599,46,"electron",
600,46,"correlations",
601,46,"quasiparticle",
602,46,"selfconsistency",
603,46,"qsgw",
604,47,"addition",
605,47,"find",
606,47,"position",
607,47,"sole",
608,47,"hbn",
609,47,"raman",
610,47,"line",
611,47,"invariant",
612,47,"nanosheet",
613,47,"dimensions",
614,47,"linewidth",
615,47,"appears",
616,47,"vary",
617,47,"weakly",
618,47,"nanosheet",
619,47,"thickness",
620,48,"sizedependent",
621,48,"spectroscopic",
622,48,"properties",
623,48,"used",
624,48,"metrics",
625,48,"estimate",
626,48,"nanosheet",
627,48,"thickness",
628,48,"spectroscopic",
629,48,"data",
630,49,"less",
631,50,"empty",
632,50,"perovskites",
633,50,"coulomb",
634,50,"floppy",
635,50,"networks",
636,50,"entropic",
637,50,"elasticity",
638,50,"negative",
639,50,"thermal",
640,50,"expansion",
641,51,"abstract",
642,51,"floppy",
643,51,"networks",
644,51,"fns",
645,51,"provide",
646,51,"valuable",
647,51,"insight",
648,51,"origin",
649,51,"anomalous",
650,51,"mechanical",
651,51,"thermal",
652,51,"properties",
653,51,"soft",
654,51,"matter",
655,51,"systems",
656,51,"polymers",
657,51,"rubber",
658,51,"biomolecules",
659,51,"glasses",
660,51,"granular",
661,51,"materials",
662,52,"use",
663,52,"fn",
664,52,"concept",
665,52,"construct",
666,52,"quantitative",
667,52,"microscopic",
668,52,"theory",
669,52,"empty",
670,52,"perovskites",
671,52,"family",
672,52,"crystals",
673,52,"reo",
674,52,3,
675,52,"structure",
676,52,"exhibit",
677,52,"number",
678,52,"unusual",
679,52,"properties",
680,53,"one",
681,53,"remarkable",
682,53,"example",
683,53,"scf",
684,53,3,
685,53,"shows",
686,53,"nearzerotemperature",
687,53,"structural",
688,53,"instability",
689,53,"large",
690,53,"negative",
691,53,"thermal",
692,53,"expansion",
693,53,"nte",
694,54,"trace",
695,54,"effects",
696,54,"fnlike",
697,54,"crystalline",
698,54,"architecture",
699,54,"formed",
700,54,"strong",
701,54,"nearestneighbor",
702,54,"bonds",
703,54,"stabilized",
704,54,"net",
705,54,"electrostatic",
706,54,"repulsion",
707,54,"plays",
708,54,"role",
709,54,"similar",
710,54,"osmotic",
711,54,"pressure",
712,54,"polymeric",
713,54,"gels",
714,55,"nte",
715,55,"crystalline",
716,55,"solids",
717,55,"conceptualize",
718,55,"coulomb",
719,55,"floppy",
720,55,"networks",
721,55,"emerges",
722,55,"tension",
723,55,"effect",
724,55,"coulomb",
725,55,"repulsion",
726,55,"combined",
727,55,"fns",
728,55,"entropic",
729,55,"elasticity",
730,55,"physical",
731,55,"origin",
732,55,"gels",
733,55,"rubber",
734,56,"theory",
735,56,"provides",
736,56,"accurate",
737,56,"quantitative",
738,56,"description",
739,56,"phonons",
740,56,"thermal",
741,56,"expansion",
742,56,"compressibility",
743,56,"structural",
744,56,"phase",
745,56,"diagram",
746,56,"excellent",
747,56,"agreement",
748,56,"experiments",
749,57,"entropic",
750,57,"stabilization",
751,57,"critical",
752,57,"soft",
753,57,"modes",
754,57,"play",
755,57,"secondary",
756,57,"role",
757,57,"nte",
758,57,"explains",
759,57,"observed",
760,57,"phase",
761,57,"diagram",
762,58,"significant",
763,58,"entropic",
764,58,"elasticity",
765,58,"resolves",
766,58,"puzzle",
767,58,"marked",
768,58,50,
769,58,"discrepancy",
770,58,"experimentally",
771,58,"observed",
772,58,"bulk",
773,58,"modulus",
774,58,"ab",
775,58,"initio",
776,58,"calculations",
777,59,"coulomb",
778,59,"fn",
779,59,"approach",
780,59,"potentially",
781,59,"applicable",
782,59,"important",
783,59,"materials",
784,59,"markedly",
785,59,"covalent",
786,59,"bonds",
787,59,"perovskite",
788,59,"oxides",
789,59,"iron",
790,59,"chalcogenides",
791,59,"whose",
792,59,"anomalous",
793,59,"vibrational",
794,59,"structural",
795,59,"properties",
796,59,"still",
797,59,"poorly",
798,59,"understood",
799,60,"less",
800,61,"new",
801,61,"type",
802,61,"halfmetallic",
803,61,"fully",
804,61,"compensated",
805,61,"ferrimagnet",
806,62,"abstract",
807,62,"halfmetallic",
808,62,"fully",
809,62,"compensated",
810,62,"ferrimagnets",
811,62,"hmfcfms",
812,62,"special",
813,62,"class",
814,62,"halfmetals",
815,62,"exhibiting",
816,62,"zero",
817,62,"magnetization",
818,62,"absolute",
819,62,"zero",
820,62,"promising",
821,62,"candidates",
822,62,"nextgeneration",
823,62,"spintronics",
824,62,"applications",
825,63,25,
826,63,"years",
827,63,"theoretical",
828,63,"studies",
829,63,"conducted",
830,63,"realize",
831,63,"hmfcfm",
832,63,"materials",
833,63,"practical",
834,63,"applications",
835,64,"herein",
836,64,"experimentally",
837,64,"demonstrate",
838,64,"niastype",
839,64,"hexagonalstructured",
840,64,"crfes",
841,64,"compound",
842,64,"could",
843,64,"serve",
844,64,"hmfcfm",
845,64,"material",
846,65,"halfmetallic",
847,65,"nature",
848,65,100,
849,65,"spinpolarized",
850,65,"fermi",
851,65,"surfaces",
852,65,"zero",
853,65,"magnetization",
854,66,"magnetization",
855,66,"shows",
856,66,"linear",
857,66,"behavior",
858,66,"function",
859,66,"magnetic",
860,66,"field",
861,66,"compensation",
862,66,"temperature",
863,66,"around",
864,66,200,
865,66,"k",
866,66,"high",
867,66,"magnetic",
868,66,"coercivity",
869,66,38,
870,66,"koe",
871,66,300,
872,66,"k",
873,66,"magnetic",
874,66,"features",
875,66,"expected",
876,66,"contribute",
877,66,"quantum",
878,66,"leap",
879,66,"application",
880,66,"hmfcfm",
881,66,"layers",
882,66,"spintronics",
883,66,"devices",
884,67,"less",
885,68,"distinguishing",
886,68,"failure",
887,68,"modes",
888,68,"molecular",
889,68,"level",
890,68,"examining",
891,68,"heterogeneity",
892,68,"local",
893,68,"structures",
894,68,"dynamics",
895,69,"abstract",
896,69,"brittle",
897,69,"failure",
898,69,"ubiquitous",
899,69,"amorphous",
900,69,"materials",
901,69,"sufficiently",
902,69,"cooled",
903,69,"glass",
904,69,"transition",
905,69,"temperature",
906,69,"g",
907,70,"catastrophic",
908,70,"failure",
909,70,"mode",
910,70,"limiting",
911,70,"amorphous",
912,70,"materials",
913,70,"many",
914,70,"applications",
915,70,"many",
916,70,"fundamental",
917,70,"questions",
918,70,"surrounding",
919,70,"remain",
920,70,"poorly",
921,70,"understood",
922,71,"two",
923,71,"challenges",
924,71,"prevent",
925,71,"fundamental",
926,71,"understanding",
927,71,"transition",
928,71,"ductile",
929,71,"response",
930,71,"temperatures",
931,71,"near",
932,71,"g",
933,71,"brittle",
934,71,"failure",
935,71,"lower",
936,71,"temperatures",
937,71,"lack",
938,71,"computationally",
939,71,"inexpensive",
940,71,"molecular",
941,71,"models",
942,71,"capture",
943,71,"failure",
944,71,"modes",
945,71,"observed",
946,71,"experiments",
947,71,"ii",
948,71,"lack",
949,71,"quantitative",
950,71,"metrics",
951,71,"distinguish",
952,71,"various",
953,71,"failure",
954,71,"mechanisms",
955,72,"work",
956,72,"use",
957,72,"molecular",
958,72,"dynamics",
959,72,"simulations",
960,72,"capture",
961,72,"ductiletobrittle",
962,72,"transition",
963,72,"glassforming",
964,72,"shortchain",
965,72,"polymer",
966,72,"systems",
967,72,"using",
968,72,"modified",
969,72,"lennardjones",
970,72,"potential",
971,72,"describe",
972,72,"nonbonded",
973,72,"interactions",
974,72,"monomers",
975,73,"characterized",
976,73,"effects",
977,73,"new",
978,73,"potential",
979,73,"macroscopic",
980,73,"mechanical",
981,73,"properties",
982,73,"well",
983,73,"microscopic",
984,73,"structural",
985,73,"dynamical",
986,73,"differences",
987,73,"deformation",
988,74,"lastly",
989,74,"present",
990,74,"quantitative",
991,74,"metrics",
992,74,"distinguish",
993,74,"different",
994,74,"failure",
995,74,"modes",
996,75,"less",
997,76,"multistate",
998,76,"metadynamics",
999,76,"automatic",
1000,76,"exploration",
1001,76,"conical",
1002,76,"intersections",
1003,77,"abstract",
1004,77,"introduce",
1005,77,"multistate",
1006,77,"metadynamics",
1007,77,"automatic",
1008,77,"exploration",
1009,77,"conical",
1010,77,"intersection",
1011,77,"seams",
1012,77,"adiabatic",
1013,77,"bornoppenheimer",
1014,77,"potential",
1015,77,"energy",
1016,77,"surfaces",
1017,77,"molecular",
1018,77,"systems",
1019,78,"choosing",
1020,78,"energy",
1021,78,"gap",
1022,78,"electronic",
1023,78,"states",
1024,78,"collective",
1025,78,"variable",
1026,78,"metadynamics",
1027,78,"drives",
1028,78,"system",
1029,78,"arbitrary",
1030,78,"groundstate",
1031,78,"configuration",
1032,78,"toward",
1033,78,"intersection",
1034,78,"seam",
1035,79,"upon",
1036,79,"reaching",
1037,79,"seam",
1038,79,"multistate",
1039,79,"electronic",
1040,79,"hamiltonian",
1041,79,"extended",
1042,79,"introducing",
1043,79,"biasing",
1044,79,"potentials",
1045,79,"offdiagonal",
1046,79,"elements",
1047,79,"molecular",
1048,79,"dynamics",
1049,79,"continued",
1050,79,"modified",
1051,79,"potential",
1052,79,"energy",
1053,79,"surface",
1054,79,"obtained",
1055,79,"diagonalization",
1056,79,"latter",
1057,80,"offdiagonal",
1058,80,"bias",
1059,80,"serves",
1060,80,"locally",
1061,80,"open",
1062,80,"energy",
1063,80,"gap",
1064,80,"push",
1065,80,"system",
1066,80,"next",
1067,80,"intersection",
1068,80,"point",
1069,81,"way",
1070,81,"conical",
1071,81,"intersection",
1072,81,"energy",
1073,81,"landscape",
1074,81,"explored",
1075,81,"identifying",
1076,81,"minimum",
1077,81,"energy",
1078,81,"crossing",
1079,81,"points",
1080,81,"barriers",
1081,81,"separating",
1082,82,"illustrate",
1083,82,"method",
1084,82,"example",
1085,82,"furan",
1086,82,"prototype",
1087,82,"organic",
1088,82,"molecule",
1089,82,"exhibiting",
1090,82,"rich",
1091,82,"photophysics",
1092,83,"multistate",
1093,83,"metadynamics",
1094,83,"reveals",
1095,83,"plateaus",
1096,83,"conical",
1097,83,"intersection",
1098,83,"energy",
1099,83,"landscape",
1100,83,"minimum",
1101,83,"energy",
1102,83,"crossing",
1103,83,"points",
1104,83,"characteristic",
1105,83,"geometries",
1106,83,"extracted",
1107,84,"method",
1108,84,"combined",
1109,84,"broad",
1110,84,"spectrum",
1111,84,"electronic",
1112,84,"structure",
1113,84,"methods",
1114,84,"represents",
1115,84,"generally",
1116,84,"applicable",
1117,84,"tool",
1118,84,"exploration",
1119,84,"photophysics",
1120,84,"photochemistry",
1121,84,"complex",
1122,84,"molecules",
1123,84,"materials",
1124,85,"less",
1125,86,"connection",
1126,86,"topological",
1127,86,"ligaments",
1128,86,"shape",
1129,86,"optimization",
1130,86,"thin",
1131,86,"tubular",
1132,86,"inhomogeneities",
1133,87,"abstract",
1134,87,"framework",
1135,87,"accounting",
1136,87,"sensitivity",
1137,87,"function",
1138,87,"domain",
1139,87,"respect",
1140,87,"addition",
1141,87,"thin",
1142,87,"ligament",
1143,88,"set",
1144,88,"ideas",
1145,88,"consider",
1146,88,"model",
1147,88,"setting",
1148,88,"elastic",
1149,88,"structures",
1150,88,"approximate",
1151,88,"question",
1152,88,"thin",
1153,88,"tubular",
1154,88,"inhomogeneity",
1155,88,"problem",
1156,88,"look",
1157,88,"sensitivity",
1158,88,"solution",
1159,88,"partial",
1160,88,"differential",
1161,88,"equation",
1162,88,"posed",
1163,88,"inside",
1164,88,"backgro",
1165,89,"investigation",
1166,89,"structural",
1167,89,"electronic",
1168,89,"magnetic",
1169,89,"properties",
1170,89,"co2fege",
1171,89,"heusler",
1172,89,"alloy",
1173,89,"experiment",
1174,89,"theory",
1175,90,"abstract",
1176,90,"experimental",
1177,90,"computational",
1178,90,"studies",
1179,90,"performed",
1180,90,"co2fege",
1181,90,"heusler",
1182,90,"alloy",
1183,91,"found",
1184,91,"alloy",
1185,91,"high",
1186,91,"experimental",
1187,91,"magnetic",
1188,91,"moment",
1189,91,61,
1190,91,"mubfu",
1191,91,"curie",
1192,91,"temperature",
1193,91,"1073k",
1194,91,"high",
1195,91,"spinwave",
1196,91,"stiffness",
1197,91,"constant",
1198,91,104,
1199,91,"nm2mev",
1200,91,"indicates",
1201,91,"magnetic",
1202,91,"moment",
1203,91,"high",
1204,91,"vary",
1205,91,"change",
1206,91,"temperature",
1207,91,"range",
1208,91,"0300k",
1209,92,"alloy",
1210,92,"strictly",
